Key,schinese

﻿campfireActivate,打开篝火
caffeineBuzz,咖啡因狂热
caffeineBuzzDesc,咖啡因可为你提供能量，短时间内保持体力充沛，并使身体更温暖。
inpActActionLockStack,锁定堆叠
inpActInventorySlot9Name,栏位 9
inpActInventorySlot10Name,栏位 10
inpActInventorySlot11Name,栏位 11
inpActInventorySlot12Name,栏位 12
inpActVehicleToggleTopLightName,切换顶灯
inpActVehicleToggleSirenName,切换警笛
inpActLockSelectedSlotName,锁定物品栏栏位
inpActGuiKeyboardSpaceName,动作热键5
inpActDebugScreenshotName,调试屏幕截图
infectionDesc,你被感染了。使用抗生素、蜂蜜或草药抗生素来治愈感染。如果不进行治疗，你会变得越来越虚弱，最终死亡。
lblContextActionCraft,制作
lblContextActionDrink,饮用
lblContextActionDrop,丢弃
lblContextActionEat,食用
lblContextActionForge,锻造
lblContextActionPin,固定配方
lblContextActionRead,查看
lblContextActionResearch,研究
lblContextActionScrap,分解
lblContextActionWear,穿戴
lblLevel,等级: {0}
lblAcceptQuest,接受任务
lblCancelQuest,取消任务
lblRemoveQuest,删除任务
lblShareQuest,分享任务
megaCrushBuffName,能量饮料
megaCrushBuffDesc,额外的能量激增可增强你的反应能力和体力!
rangedWeaponStatsTip_title,远程武器统计
statCargo,载货
statCarryCapacity,背包空间
statDamageUndead,对丧尸的伤害
statResistBleed,流血抗性
statResistCrit,感染、疲劳、扭伤、眩晕抗性
statResistInfection,感染抗性
statHealthChangeOT,治疗/秒
statHealthMaxModifierOT,治疗
statHyperthermalResist,炎热抗性
statHypothermalResist,寒冷抗性
statNoiseIncrease,噪音
statPhysicalDamageResist,物理护甲
statPhysicalDamageResistLight,物理护甲（轻型）
statPhysicalDamageResistHeavy,物理护甲（重型）
statPlayerExpGain,获得的经验值
statStaminaChangeOT,体力/秒
statStaminaDrainOT,体力
statVehicleCargoCapacity,载货量
statVehicleCargoOverloaded,货物超载
statVehicleLightIntensity,光照强度
xuiActiveEffects,主动效果
xuiAllies,队友
xuiBuyPrice,$
xuiCreative,创意
xuiCharacter,人物
xuiCrafting,制作
xuiCurrentLife,当前生命
xuiCosmetics,饰品
xuiDeaths,死亡
xuiFood,食物
xuiFeelsLike,体感
xuiGameStage,游戏\n阶段
xuiInventory,物品栏
xuiItemsCrafted,已制作物品
xuiJournal,日志
xuiLongestLife,最长生存
xuiLevel,等级
xuiMap,地图
xuiModifiers,修改器
xuiNoSellPrice,
xuiObjectives,目标
xuiOptionsDynamicMesh,动态网格
xuiOptionsVideoDistanceCustom,自定义
xuiParty,队伍
xuiPing,延迟
xuiPlayerKills,击杀玩家
xuiPlayers,玩家
xuiPlayerShow,展示
xuiPointsAvailable,[decea3]
xuiPrefabEditor,预制编辑器
xuiQuests,任务
xuiRewards,奖励
xuiRewardsNotAvailable,奖励不可用。
xuiRwgCountyName,世界名称
xuiRwgPreviewer,世界生成器
xuiRwgWorldSeed,种子
xuiSellPrice,$
xuiSharedWaypoints,共享
xuiSign,编辑标志文字
xuiSkillBuy,解锁
xuiSkillNerfedEffect,[FF6A00]技能不满足一项或多项要求。[-]
xuiSkills,技能
xuiSkillList,技能
xuiSteamID,Steam ID
xuiVehicleStorage,载具储物箱
xuiVoice,语音
xuiWater,水
xuiWaypoints,已保存
xuiWorldEditor,世界编辑器
xuiWPskills,技能
xuiXPToNextLevel,升级所需经验
xuiZombieKills,击杀丧尸数
inpActSkillsName,技能
inpActSkillsDesc,打开技能标签
uiLoadStartingGame,请稍候... \n正在搜刮物资
uiLoadLoadingXml,请稍候... \n正在寻找幸存者
uiLoadCreatingWorld,请稍候... \n正在与不死生物战斗
uiLoadCreatingPlayer,请稍候... \n正在抵御突袭
msgBuildingEnvironment,请稍候... \n正在搜寻庇护所
msgGeneratingDistantTerrain,请稍候... \n正在寻找双筒望远镜
msgStartingGame,请稍候... \n正在冶炼一些矿石
uiLoadWaitingForServer,请稍候... \n正在为尸潮做准备
waitingForServer,请稍候... \n正在寻找食物
questBlockActivate,[73E9B2][{{0}}][-] 激活 {1}
questRallyActivate,[73E9B2][{{0}}][-] 开始任务\n[decea3]( {1} )[-]
itemTooltipFocusedOne,[73E9B2][{0}][-] 拿取 {1}
itemTooltipFocusedSeveral,[73E9B2][{0}][-] 拿取 {1} ({2})
forgeActivate,[73E9B2][{0}][-] 打开锻造炉
useCampfire,[73E9B2][{0}][-] 使用
useForge,[73E9B2][{0}][-] 使用
useSecureDoor,[73E9B2][{0}][-] 使用
useDoor,[73E9B2][{0}][-] 使用
useOpen,[73E9B2][{0}][-] 打开
useClose,[73E9B2][{0}][-] 关闭
useWorkstation,[73E9B2][{0}][-] 使用
lootAccess,[73E9B2][{0}][-] 存取 {1}
lootEntity,[73E9B2][{0}][-] 搜寻 {1}
lootTooltipEmpty,[73E9B2][{0}][-] 打开 {1}\n[808080](空的)[-]
lootTooltipNew,[73E9B2][{0}][-] 搜寻 {1}\n[73E9B2](未触碰过)[-]
lootTooltipTouched,[73E9B2][{0}][-] 打开 {1}
lootVehicleEmpty,[73E9B2][{0}][-] 打开 {1}{2}\n[808080](空的)[-]
lootVehicleNew,[73E9B2][{0}][-] 搜寻 {1}{2}\n[73E9B2](未触碰过)[-]
lootVehicleTouched,[73E9B2][{0}][-] 打开 {1}{2}
lootVehicleSecureJammed,[73E9B2][{0}][-] 使用 {1}{2}\n[808080](卡住的)[-]
