Key,german

campfireActivate,"Öffne Lagerfeuer"
caffeineBuzz,"Koffein-Rausch"
caffeineBuzzDesc,"Koffein gibt dir Energie, hält deine Ausdauer höher und deine wärmt dich temporär."
inpActActionLockStack,"Stapel sperren"
inpActInventorySlot9Name,"Slot 9"
inpActInventorySlot10Name,"Slot 10"
inpActInventorySlot11Name,"Slot 11"
inpActInventorySlot12Name,"Slot 12"
inpActVehicleToggleTopLightName,"Oberlicht (de-)aktivieren"
inpActVehicleToggleSirenName,"Sirene (de-)aktivieren"
inpActLockSelectedSlotName,"Inventarslot sperren"
inpActGuiKeyboardSpaceName,"Action Hotkey 5"
inpActDebugScreenshotName,"Debug Screenshot"
infectionDesc,"Infiziert. Heile dich mit Antibiotika, Honig oder pflanzliche Antibiotika, sonst wirst du immer schwächer und stirbst langsam."
lblContextActionCraft,"Herstellen"
lblContextActionDrink,"Benutzen"
lblContextActionDrop,"Ablegen"
lblContextActionEat,"Benutzen"
lblContextActionForge,"Schmieden"
lblContextActionPin,"Pin"
lblContextActionRead,"Untersuchen"
lblContextActionResearch,"Forschung"
lblContextActionScrap,"Schrott"
lblContextActionWear,"Verwenden"
lblLevel,"Level: {0}"
lblAcceptQuest,"Auftrag annehmen"
lblCancelQuest,"Auftrag abbrechen"
lblRemoveQuest,"Auftrag entfernen"
lblShareQuest,"Auftrag teilen"
megaCrushBuffName,"Energiedrink"
megaCrushBuffDesc,"Steiger deine Reflexe und Ausdauer mit einem zusätzlichen Energieschub!"
rangedWeaponStatsTip_title,"Fernkampfwaffen-Statistiken"
statCargo,"Lager"
statCarryCapacity,"Tragekapazität"
statDamageUndead,"Schaden an Untoten"
statResistBleed,"Bluten-Widerstand"
statResistCrit,"Widerstand gegen Infektion, Erschöpfung, Verstauchung, Betäubung"
statResistInfection,"Infektions-Widerstand"
statHealthChangeOT,"Heilung /sec"
statHealthMaxModifierOT,"Heilung"
statHyperthermalResist,"Hitze-Widerstand"
statHypothermalResist,"Kälte-Widerstand"
statNoiseIncrease,"Lärm"
statPhysicalDamageResist,"Rüstung"
statPhysicalDamageResistLight,"Leichte Rüstung"
statPhysicalDamageResistHeavy,"Schwere Rüstung"
statPlayerExpGain,"Exp Gewinn"
statStaminaChangeOT,"Ausdauer/Sek."
statStaminaDrainOT,"Ausdauer"
statVehicleCargoCapacity,"Lagerkapazität"
statVehicleCargoOverloaded,"Fahrzeuglager überladen"
statVehicleLightIntensity,"Lichtintensität"
xuiActiveEffects,"Aktive Effekte"
xuiAllies,"Verbündete"
xuiBuyPrice,"$"
xuiCreative,"Creative"
xuiCharacter,"Character"
xuiCrafting,"Handwerk"
xuiCurrentLife,"Lebendig"
xuiCosmetics,"Kosmetik"
xuiDeaths,"Tode"
xuiFood,"Lebensmittel"
xuiFeelsLike,"Gefühlt"
xuiGameStage,"Spiel\nStadium"
