Key,koreana

campfireActivate,"캠프파이어 열기"
caffeineBuzz,"카페인 러쉬"
caffeineBuzzDesc,"카페인이 활력을 주고, 스태미너를 많이 공급해주며 제한된 시간 동안 체온을 따뜻하게 해 줍니다."
inpActActionLockStack,"인벤토리 슬롯 잠금"
inpActInventorySlot9Name,"슬롯 9"
inpActInventorySlot10Name,"슬롯 10"
inpActInventorySlot11Name,"슬롯 11"
inpActInventorySlot12Name,"슬롯 12"
inpActVehicleToggleTopLightName,"지붕 표시등 점등"
inpActVehicleToggleSirenName,"사이렌 점등"
inpActLockSelectedSlotName,"인벤토리 슬롯 잠금"
inpActGuiKeyboardSpaceName,"행동 단축키 5"
inpActDebugScreenshotName,"디버깅용 스크린샷 촬영"
infectionDesc,"당신은 감염되었습니다. "
lblContextActionCraft,"제작"
lblContextActionDrink,"마시기"
lblContextActionDrop,"버리기"
lblContextActionEat,"먹기"
lblContextActionForge,"제련"
lblContextActionPin,"고정"
lblContextActionRead,"조사"
lblContextActionResearch,"연구"
lblContextActionScrap,"분해"
lblContextActionWear,"착용"
lblLevel,"레벨: {0}"
megaCrushBuffName,"에너지 음료"
megaCrushBuffDesc,"온몸을 휩싸는 에너지로 당신의 반사신경과 추가적인 스태미너를 얻어보세요!"
rangedWeaponStatsTip_title,"원거리 무기 통계"
statCarryCapacity,"배낭 무게"
statHealthChangeOT,"초당 체력 회복"
statHealthMaxModifierOT,"회복"
statHyperthermalResist,"더위 저항"
statHypothermalResist,"추위 저항"
statNoiseIncrease,"소음"
statPhysicalDamageResist,"물리 방어구"
statPhysicalDamageResistLight,"물리 방어구 (경갑)"
statPhysicalDamageResistHeavy,"물리 방어구 (중갑)"
statPlayerExpGain,"경험치 획득"
statStaminaChangeOT,"스태미너 /초"
statStaminaDrainOT,"스태미너 감소"
statVehicleCargoCapacity,"화물 용량"
statVehicleCargoOverloaded,"화물 과적"
xuiActiveEffects,"활성화 효과"
xuiAllies,"동맹"
xuiBuyPrice,"$"
xuiCreative,"창작 모드"
xuiCharacter,"캐릭터"
xuiCrafting,"제작"
xuiCurrentLife,"현재 생존 시간"
xuiCosmetics,"꾸미기"
xuiDeaths,"죽은 횟수"
xuiFood,"음식"
xuiFeelsLike,"같은 느낌"
xuiGameStage,"게임\n스테이지"
xuiInventory,"인벤토리"
xuiItemsCrafted,"제작한 아이템 수"
xuiJournal,"일지"
xuiLongestLife,"최장 생존 시간"
xuiLevel,"레벨"
xuiMap,"지도 위치"
xuiModifiers,"개조 부품"
xuiNoSellPrice," "
xuiObjectives,"퀘스트 목표"
xuiParty,"파티"
xuiPing,"핑"
xuiPlayerKills,"처치한\n 플레이어\n 수"
xuiPlayers,"플레이어 목록"
xuiPlayerShow,"보기"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"프리팹 편집기"
xuiQuests,"퀘스트"
xuiRewards,"보상"
xuiRewardsNotAvailable,"보상을 받을 수 없습니다."
xuiRwgCountyName,"세계 이름"
xuiRwgPreviewer,"세계 생성"
xuiRwgWorldSeed,"시드"
xuiSellPrice,"$"
xuiSharedWaypoints,"공유 웨이포인트"
xuiSign,"간판 문구 수정"
xuiSkillBuy,"필요 포인트"
xuiSkillNerfedEffect,"[FF6A00]스킬이 하나 이상의 요구사항을 충족하지 못했습니다.[-]"
xuiSkills,"스킬"
xuiSkillList,"스킬"
xuiSteamID,"스팀 ID"
xuiVehicleStorage,"차량 적재함"
xuiVoice,"음성 채팅"
xuiWater,"Water"
xuiWaypoints,"중요 지점"
xuiWorldEditor,"세계 편집"
xuiWPskills,"스킬"
xuiXPToNextLevel,"남은 XP"
xuiZombieKills,"처치한\n 좀비 수"
inpActSkillsName,"스킬"
inpActSkillsDesc,"스킬 창 열기"
uiLoadStartingGame,"잠시 기다려 주십시오...\n보급품 수색 중"
uiLoadLoadingXml,"잠시 기다려 주십시오...\n생존자를 찾는 중"
uiLoadCreatingWorld,"잠시 기다려 주십시오...\n언데드를 퇴치하는 중"
uiLoadCreatingPlayer,"잠시 기다려 주십시오...\n약탈자를 물리치는 중"
msgBuildingEnvironment,"잠시 기다려 주십시오...\n은신처를 물색하는 중"
msgGeneratingDistantTerrain,"잠시 기다려 주십시오...\n쌍안경을 찾는 중"
msgStartingGame,"잠시 기다려 주십시오...\n광석을 제련하는 중"
uiLoadWaitingForServer,"잠시 기다려 주십시오...\n호드를 대비하는 중"
waitingForServer,"잠시 기다려 주십시오...\n음식을 위해 사냥을 나서는 중"
questBlockActivate,"[73E9B2][{{0}}][-] 활성화 {1}"
questRallyActivate,"[73E9B2][{{0}}][-] 퀘스트 시작\n[decea3]( {1} )[-]"
npcTooltipTalk,"[73E9B2][{0}][-] {1} 과(와) 대화"
itemTooltipFocusedOne,"[73E9B2][{0}][-] {1} 줍기"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] {1} 줍기 ({2})"
forgeActivate,"[73E9B2][{0}][-] 용광로 열기"
useCampfire,"[73E9B2][{0}][-] 사용"
useForge,"[73E9B2][{0}][-] 사용"
useSecureDoor,"[73E9B2][{0}][-] 열기"
useDoor,"[73E9B2][{0}][-] 열기"
useWorkstation,"[73E9B2][{0}][-]"
lootAccess,"[73E9B2][{0}][-] {1} 접촉"
lootEntity,"[73E9B2][{0}][-] {1} 수색"
lootTooltipEmpty,"[73E9B2][{0}][-] {1} 열기\n[808080](비어 있음)[-]"
lootTooltipNew,"[73E9B2][{0}][-] {1} 조사\n[73E9B2](손대지 않음)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] {1} 열기"
tooltipJammed,"[73E9B2][{0}][-] {1} 열기\n[808080](걸림)[-]"
tooltipLocked,"[73E9B2][{0}][-] {1} 열기\n[808080](잠김)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] {1} 열기\n[808080](잠금 해제됨)[-]"
useBlock,"[73E9B2][{0}][-] {1} 사용"
useElevator,"[73E9B2][{0}][-] 엘리베이터 호출 [808080]({1}층)[-]"
lootItem,"[73E9B2][{0}][-] {1} 줍기"
tooltipInteract,"[73E9B2][{0}][-] {1} 사용"
vendingMachineActivate,"[73E9B2][{0}][-] {1} 사용"
useSwitchLightOff,"[73E9B2][{0}][-] 끄기"
