Key,English

TwitchActionCategory_Animals,"Animals"
TwitchActionCategory_Hordes,"Hordes"
TwitchActionCategory_Vehicles,"Vehicles"
TwitchActionCategory_Zombies,"Zombies"

TwitchAction_ActionRandomJump,"Random Jump"
TwitchAction_ActionRandomJumpDesc,"Sends you in the air on a random height from 15m to 50m"
TwitchAction_ActionTeleport50m,"Teleport 50m"
TwitchAction_ActionTeleport50mDesc,"Teleports you in a random direction between 45m to 55m"
TwitchAction_ActionTeleport250m,"Teleport 250m"
TwitchAction_ActionTeleport250mDesc,"Teleports you in a random direction between 225m to 275m"
TwitchAction_ActionTeleport500m,"Teleport 500m"
TwitchAction_ActionTeleport500mDesc,"Teleports you in a random direction between 450m to 550m"
TwitchAction_ActionTeleport1km,"Teleport 1km"
TwitchAction_ActionTeleport1kmDesc,"Teleports you in a random direction between 900m to 1.1km"
TwitchAction_ActionTeleport2km,"Teleport 2km"
TwitchAction_ActionTeleport2kmDesc,"Teleports you in a random direction between 1.9km to 2.1km"
TwitchAction_ActionDeadWeight,"Dead Weight"
TwitchAction_ActionDeadWeightDesc,"Fills up players inventory with [decea3]24[-] heavy [decea3]Putrid Meat Chunk[-] items, that do not stack."
TwitchAction_ActionTotalRecall,"Total Recall"
TwitchAction_ActionTotalRecallDesc,"Resets and refunds player allocated attribute and perk points."

TwitchAction_BuffHercules,"Hercules"
TwitchAction_BuffHerculesDesc,"Adds Hercules buff, that increases carry capacity in inventory by [decea3]200[-]."

TwitchAction_GiveBicycle,"Gives a Bicycle"
TwitchAction_GiveBicycleDesc,"Adds a [decea3]Bicycle[-] in the inventory"
TwitchAction_GiveMinibike,"Gives a Minibike"
TwitchAction_GiveMinibikeDesc,"Adds a [decea3]Minibike[-] in the inventory"
TwitchAction_GiveMotorcycle,"Gives a Motorcycle"
TwitchAction_GiveMotorcycleDesc,"Adds a [decea3]Motorcycle[-] in the inventory"
TwitchAction_GiveBuggy,"Gives a Dune Runner buggy"
TwitchAction_GiveBuggyDesc,"Adds a [decea3]Dune Runner[-] buggy in the inventory"
TwitchAction_Give4x4Truck,"Gives a 4x4 Truck"
TwitchAction_Give4x4TruckDesc,"Adds a [decea3]4x4 Truck[-] in the inventory"
